time,flowcount
"05/11/2022, 00:06:34",1
"05/11/2022, 00:06:37",1
"05/11/2022, 00:06:40",1
"05/11/2022, 00:06:43",1
"05/11/2022, 00:06:46",1
"05/11/2022, 00:06:49",1
"05/11/2022, 00:06:52",1
"05/11/2022, 00:06:55",1
"05/11/2022, 00:06:58",1
"05/11/2022, 00:07:01",1
"05/11/2022, 00:07:04",1
"05/11/2022, 00:07:07",1
"05/11/2022, 00:07:10",1
"05/11/2022, 00:07:13",1
"05/11/2022, 00:07:16",1
"05/11/2022, 00:07:19",1
"05/11/2022, 00:07:22",1
"05/11/2022, 00:07:25",1
"05/11/2022, 00:07:28",1
"05/11/2022, 00:07:31",1
"05/11/2022, 00:07:34",1
"05/11/2022, 00:07:37",1
"05/11/2022, 00:07:40",1
"05/11/2022, 00:07:43",1
"05/11/2022, 00:07:46",1
"05/11/2022, 00:07:49",1
"05/11/2022, 00:07:52",1
"05/11/2022, 00:07:55",1
"05/11/2022, 00:07:58",1
"05/11/2022, 00:08:01",1
"05/11/2022, 00:08:04",1
"05/11/2022, 00:08:07",1
"05/11/2022, 00:08:10",1
"05/11/2022, 00:08:13",1
"05/11/2022, 00:08:16",1
"05/11/2022, 00:08:19",1
"05/11/2022, 00:08:22",1
"05/11/2022, 00:08:25",1
"05/11/2022, 00:08:28",1
"05/11/2022, 00:08:31",1
"05/11/2022, 00:08:34",1
"05/11/2022, 00:08:37",1
"05/11/2022, 00:08:40",1
"05/11/2022, 00:08:43",1
"05/11/2022, 00:08:46",1
"05/11/2022, 00:08:49",1
"05/11/2022, 00:08:52",1
"05/11/2022, 00:08:55",1
"05/11/2022, 00:08:58",1
"05/11/2022, 00:09:01",1
"05/11/2022, 00:09:04",1
"05/11/2022, 00:09:07",1
"05/11/2022, 00:09:10",1
"05/11/2022, 00:09:13",1
"05/11/2022, 00:09:16",1
time,flowcount
"05/11/2022, 00:10:08",1
"05/11/2022, 00:10:10",1
"05/11/2022, 00:10:12",1
"05/11/2022, 00:10:14",1
"05/11/2022, 00:10:16",1
"05/11/2022, 00:10:18",1
"05/11/2022, 00:10:20",1
"05/11/2022, 00:10:22",1
"05/11/2022, 00:10:24",1
"05/11/2022, 00:10:26",1
"05/11/2022, 00:10:28",1
"05/11/2022, 00:10:30",1
"05/11/2022, 00:10:32",1
"05/11/2022, 00:10:34",1
"05/11/2022, 00:10:36",1
"05/11/2022, 00:10:38",1
"05/11/2022, 00:10:40",1
"05/11/2022, 00:10:42",1
"05/11/2022, 00:10:44",1
"05/11/2022, 00:10:46",1
"05/11/2022, 00:10:48",1
"05/11/2022, 00:10:50",1
"05/11/2022, 00:10:52",1
"05/11/2022, 00:10:54",1
"05/11/2022, 00:10:56",1
"05/11/2022, 00:10:58",1
"05/11/2022, 00:11:00",1
"05/11/2022, 00:11:02",1
"05/11/2022, 00:11:04",1
"05/11/2022, 00:11:06",1
"05/11/2022, 00:11:08",1
"05/11/2022, 00:11:10",1
"05/11/2022, 00:11:12",1
"05/11/2022, 00:11:14",1
"05/11/2022, 00:11:16",1
"05/11/2022, 00:11:18",1
"05/11/2022, 00:11:20",1
"05/11/2022, 00:11:22",1
"05/11/2022, 00:11:24",1
"05/11/2022, 00:11:26",1
"05/11/2022, 00:11:28",1
"05/11/2022, 00:11:30",1
"05/11/2022, 00:11:32",1
"05/11/2022, 00:11:34",1
"05/11/2022, 00:11:36",1
"05/11/2022, 00:11:38",1
"05/11/2022, 00:11:40",1
"05/11/2022, 00:11:42",1
"05/11/2022, 00:11:44",1
"05/11/2022, 00:11:46",1
"05/11/2022, 00:11:48",1
"05/11/2022, 00:11:50",1
"05/11/2022, 00:11:52",1
"05/11/2022, 00:11:54",1
"05/11/2022, 00:11:56",1
"05/11/2022, 00:11:58",1
"05/11/2022, 00:12:00",1
"05/11/2022, 00:12:02",1
