time,sfe,ssip,rfip,type
"04/02/2022, 15:26:13",-7977,-7977,1.0,1
"04/02/2022, 15:26:16",-8016,-8016,1.0,1
"04/02/2022, 15:26:19",-8076,-8076,1.0,1
"04/02/2022, 15:26:22",-8136,-8136,1.0,1
"04/02/2022, 15:26:25",-8196,-8196,1.0,1
"04/02/2022, 15:26:28",-8255,-8255,1.0,1
"04/02/2022, 15:26:32",-8315,-8315,1.0,1
"04/02/2022, 15:26:35",-8375,-8375,1.0,1
"04/02/2022, 15:26:38",-8435,-8435,1.0,1
"04/02/2022, 15:26:41",-8495,-8495,1.0,1
"04/02/2022, 15:26:44",-8655,-8655,1.0,1
"04/02/2022, 15:26:47",-8951,-8951,1.0,1
"04/02/2022, 15:26:50",-9245,-9245,1.0,1
"04/02/2022, 15:26:53",-9502,-9502,1.0,1
"04/02/2022, 15:26:56",-9653,-9653,1.0,1
"04/02/2022, 15:26:59",-9849,-9849,1.0,1
"04/02/2022, 15:27:02",-10046,-10046,1.0,1
"04/02/2022, 15:27:05",-10242,-10242,1.0,1
"04/02/2022, 15:27:08",-10439,-10439,1.0,1
"04/02/2022, 15:27:11",-10550,-10550,1.0,1
"04/02/2022, 15:27:14",-10698,-10698,1.0,1
"04/02/2022, 15:27:18",-10846,-10846,1.0,1
"04/02/2022, 15:27:18",0,0,1.0,1
"04/02/2022, 15:27:21",-10888,-10888,1.0,1
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
"04/04/2022, 22:57:02",1,0,1.0,0
"04/04/2022, 22:57:05",0,0,1.0,0
"04/04/2022, 22:57:08",0,0,1.0,0
"04/04/2022, 22:57:11",0,0,1.0,0
"04/04/2022, 22:57:14",0,0,1.0,0
"04/04/2022, 22:57:17",0,0,1.0,0
"04/04/2022, 22:57:20",0,0,1.0,0
"04/04/2022, 22:57:23",0,0,1.0,0
"04/04/2022, 22:57:26",0,0,1.0,0
"04/04/2022, 22:57:29",0,0,1.0,0
time,sfe,ssip,rfip,type
"05/10/2022, 23:18:46",1,0,1.0,0
"05/10/2022, 23:18:49",0,0,1.0,0
"05/10/2022, 23:18:52",0,0,1.0,0
"05/10/2022, 23:18:55",0,0,1.0,0
"05/10/2022, 23:18:58",0,0,1.0,0
"05/10/2022, 23:19:01",0,0,1.0,0
"05/10/2022, 23:19:04",0,0,1.0,0
"05/10/2022, 23:19:07",0,0,1.0,0
"05/10/2022, 23:19:10",0,0,1.0,0
"05/10/2022, 23:19:13",-4,-4,1.0,0
"05/10/2022, 23:19:16",-8,-6,1.0,0
"05/10/2022, 23:19:19",-10,-7,1.0,0
"05/10/2022, 23:19:22",-14,-8,1.0,0
"05/10/2022, 23:19:25",0,0,1.0,0
"05/10/2022, 23:19:28",-18,-10,1.0,0
"05/10/2022, 23:19:31",-28,-10,1.0,0
"05/10/2022, 23:19:34",-38,-10,1.0,0
"05/10/2022, 23:19:37",0,0,1.0,0
"05/10/2022, 23:19:40",-44,-10,1.0,0
"05/10/2022, 23:19:43",0,0,1.0,0
"05/10/2022, 23:19:46",-52,-10,1.0,0
"05/10/2022, 23:19:49",0,0,1.0,0
"05/10/2022, 23:19:52",-56,-10,1.0,0
"05/10/2022, 23:19:55",-58,-10,1.0,0
"05/10/2022, 23:19:58",-64,-10,1.0,0
"05/10/2022, 23:20:01",-66,-10,1.0,0
"05/10/2022, 23:20:04",-68,-10,1.0,0
"05/10/2022, 23:20:07",-70,-10,1.0,0
"05/10/2022, 23:20:10",-72,-10,1.0,0
"05/10/2022, 23:20:13",-74,-10,1.0,0
"05/10/2022, 23:20:16",0,0,1.0,0
"05/10/2022, 23:20:19",-80,-10,1.0,0
"05/10/2022, 23:20:22",-80,-10,1.0,0
"05/10/2022, 23:20:25",-82,-10,1.0,0
"05/10/2022, 23:20:28",-82,-10,1.0,0
"05/10/2022, 23:20:31",0,0,1.0,0
"05/10/2022, 23:20:34",-84,-10,1.0,0
"05/10/2022, 23:20:37",-88,-10,1.0,0
"05/10/2022, 23:20:40",-90,-10,1.0,0
"05/10/2022, 23:20:43",-90,-10,1.0,0
"05/10/2022, 23:20:46",0,0,1.0,0
"05/10/2022, 23:20:49",-90,-10,1.0,0
"05/10/2022, 23:20:52",-90,-10,1.0,0
"05/10/2022, 23:20:55",0,0,1.0,0
"05/10/2022, 23:20:58",-90,-10,1.0,0
"05/10/2022, 23:21:01",0,0,1.0,0
"05/10/2022, 23:21:04",-90,-10,1.0,0
"05/10/2022, 23:21:07",-90,-10,1.0,0
"05/10/2022, 23:21:10",-90,-10,1.0,0
"05/10/2022, 23:21:13",-90,-10,1.0,0
"05/10/2022, 23:21:16",-90,-10,1.0,0
"05/10/2022, 23:21:19",-90,-10,1.0,0
"05/10/2022, 23:21:22",-90,-10,1.0,0
"05/10/2022, 23:21:25",-90,-10,1.0,0
"05/10/2022, 23:21:28",-90,-10,1.0,0
"05/10/2022, 23:21:31",-90,-10,1.0,0
"05/10/2022, 23:21:34",-90,-10,1.0,0
"05/10/2022, 23:21:37",0,0,1.0,0
"05/10/2022, 23:21:40",-90,-10,1.0,0
"05/10/2022, 23:21:43",-90,-10,1.0,0
